state,occupation_code,soc_code,occupation_title,employment,major_group,major_group_name,is_major_group,uber_category,annual_mean_wage,avg_task_importance,avg_skill_level,complexity_raw,job_complexity_index,task_complexity_raw,task_complexity_index,job_price_index
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,3.6976923076923076,2.9894285714285713,757828.1890191208,1.166559631672135,11.053987032967033,1.1374561610977978,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,3.6976923076923076,3.182,806645.5644753845,1.2417064530185002,11.766056923076922,1.2107282104698627,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,3.6976923076923076,3.2614285714285716,826780.9211175824,1.2727017294788705,12.05975934065934,1.2409502130298538,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,3.8985185185185185,3.2714285714285714,874357.1157566138,1.345937944360645,12.753724867724868,1.312359321978147,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,3.8985185185185185,3.1845714285714286,851142.7434256085,1.310202998064956,12.415110687830689,1.2775158954382908,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,3.8985185185185185,3.2254285714285715,862062.6619892063,1.3270125287237833,12.574393015873016,1.2939060598961836,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,3.8985185185185185,2.9894285714285713,798986.7687477248,1.2299169180651028,11.654342645502645,1.199232802258284,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,3.8985185185185185,3.182,850455.4758237036,1.3091450555759387,12.405085925925926,1.2764843466262554,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,3.8985185185185185,3.2614285714285716,871684.408415873,1.3418237235700228,12.714739682539683,1.3083477432646768,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,3.9629411764705886,3.2714285714285714,888805.7862268909,1.3681794444080035,12.96447899159664,1.3340459383962568,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,3.9629411764705886,3.1845714285714286,865207.7985401681,1.3318539814298347,12.62026924369748,1.2986267274554306,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,3.9629411764705886,3.2254285714285715,876308.1677480673,1.348941288028118,12.782183697478994,1.3152877378650958,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,3.9629411764705886,2.9894285714285713,812189.9512045378,1.2502411813834882,11.846929579831933,1.2190500134008764,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,3.9629411764705886,3.182,864509.1739047059,1.3307785565390335,12.610078823529413,1.2975781323946824,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,3.9629411764705886,3.2614285714285716,886088.9126445379,1.3639972364993327,12.924849579831935,1.32996806871557,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,4.057142857142857,3.2714285714285714,909933.2759183673,1.4007019567000658,13.272653061224489,1.3657570751239694,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,4.057142857142857,3.1845714285714286,885774.3487673469,1.3635130139195575,12.920261224489796,1.3294959265791935,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,4.057142857142857,3.2254285714285715,897138.5809469387,1.3810064968722306,13.086024489795918,1.3465529800065057,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,4.057142857142857,2.9894285714285713,831496.232832653,1.2799602247120339,12.128538775510203,1.2480276224473443,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,4.057142857142857,3.182,885059.1173714284,1.3624120254819765,12.909828571428571,1.3284224057341179,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,4.057142857142857,3.2614285714285716,907151.8204897959,1.3964203349983624,13.232081632653061,1.3615822718375645,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,3.856842105263158,3.2714285714285714,865009.9577744361,1.3315494360801812,12.617383458646616,1.2983297799399396,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,3.856842105263158,3.1845714285714286,842043.7545287218,1.2961965078209343,12.282389172932332,1.2638588408044165,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,3.856842105263158,3.2254285714285715,852846.9356607519,1.3128263392060406,12.439968721804512,1.2800737891477711,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,3.856842105263158,2.9894285714285713,790445.3439470676,1.2167687117647978,11.529753984962406,1.1864126189966453,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,3.856842105263158,3.182,841363.8340378947,1.2951498750764172,12.27247157894737,1.2628383195800095,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,3.856842105263158,3.2614285714285716,862365.8225323309,1.327479197629281,12.578815037593985,1.294361086289468,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,3.967777777777778,3.2714285714285714,889890.535920635,1.3698492492813594,12.980301587301588,1.335674084775973,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,3.967777777777778,3.1845714285714286,866263.7478926985,1.3334794526192169,12.635671746031747,1.3002116461932747,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,3.967777777777778,3.2254285714285715,877377.6646295239,1.3505876135491062,12.79778380952381,1.3168929906581623,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,3.967777777777778,2.9894285714285713,813181.1945273016,1.251767047618416,11.861388253968254,1.2205378121406991,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,3.967777777777778,3.182,865564.2706155556,1.3324027152180349,12.62546888888889,1.299161771366813,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,3.967777777777778,3.2614285714285716,887170.3465095238,1.3656619371656522,12.94062380952381,1.3315912382286228,0.9100889419885836
AL,11-3061,11-3061,Alabama,3.6,11,Management,False,Management & Business,108081,4.051666666666667,2.8182857142857145,1234150.3819542858,1.8997841936495858,11.418754285714288,1.1749907409527114,1.4347670250896056
AL,11-3071,11-3071,Alabama,5.7,11,Management,False,Management & Business,69208,3.914615384615385,2.641714285714286,715700.3709784616,1.1017103523648142,10.341295384615385,1.0641201327522916,0.9187309172972256
AL,11-3071,11-3071,Alabama,5.7,11,Management,False,Management & Business,69208,3.914615384615385,2.725714285714286,738457.8779076925,1.1367420248280693,10.670123076923078,1.0979565289267643,0.9187309172972256
AL,11-3071,11-3071,Alabama,5.7,11,Management,False,Management & Business,69208,3.627666666666667,2.641714285714286,663238.178985143,1.0209528980298785,9.583258857142859,0.9861181126721784,0.9187309172972256
AL,11-3071,11-3071,Alabama,5.7,11,Management,False,Management & Business,69208,3.627666666666667,2.725714285714286,684327.5175771429,1.05341668258761,9.887982857142859,1.0174742369557195,0.9187309172972256
AL,11-3111,11-3111,Alabama,11.3,11,Management,False,Management & Business,38729,3.875,2.520857142857143,378317.3206071428,0.5823611744423014,9.76832142857143,1.0051610662627914,0.514124518784017
AL,11-3121,11-3121,Alabama,4.1,11,Management,False,Management & Business,95792,3.9057692307692307,2.7462857142857144,1027499.3086945055,1.5816767342020748,10.726358241758241,1.1037431319435165,1.2716314881189432
AL,11-3131,11-3131,Alabama,9.7,11,Management,False,Management & Business,31041,3.9616666666666664,2.79,343097.72504999995,0.5281460383255508,11.053049999999999,1.1373597403295874,0.4120669056152927
AL,11-9021,11-9021,Alabama,3.7,11,Management,False,Management & Business,110584,3.6260000000000003,3.003142857142857,1204192.967264,1.853669373492022,10.889396000000001,1.120519730473132,1.4679941590335857
AL,11-9031,11-9031,Alabama,14.3,11,Management,False,Management & Business,118425,3.928235294117647,2.678857142857143,1246207.7308235294,1.9183446228598702,10.523181176470588,1.0828361954674766,1.5720828355236958
AL,11-9033,11-9033,Alabama,1.7,11,Management,False,Management & Business,35733,3.6974074074074075,2.7142857142857144,358609.9598412699,0.552024731631929,10.035820105820106,1.0326867018198607,0.47435284747112705
AL,11-9041,11-9041,Alabama,3.7,11,Management,False,Management & Business,88528,3.346315789473684,2.992,886357.9914778947,1.3644114418684121,10.012176842105262,1.0302538080684291,1.175202442585955
AL,11-9041,11-9041,Alabama,3.7,11,Management,False,Management & Business,88528,3.346315789473684,2.883142857142857,854109.8636366916,1.3147704220678138,9.647906466165413,0.9927703568772459,1.175202442585955
AL,11-9041,11-9041,Alabama,3.7,11,Management,False,Management & Business,88528,3.548888888888889,2.992,940014.6983822223,1.4470076677016965,10.618275555555556,1.0926214147782445,1.175202442585955
AL,11-9041,11-9041,Alabama,3.7,11,Management,False,Management & Business,88528,3.548888888888889,2.883142857142857,905814.3927974603,1.3943615713118618,10.23195365079365,1.0528688594850328,1.175202442585955
AL,11-9051,11-9051,Alabama,6.0,11,Management,False,Management & Business,102052,4.3246153846153845,2.632,1161595.4287753846,1.7880970319910579,11.382387692307693,1.1712486155453719,1.3547325102880658
AL,11-9072,11-9072,Alabama,27.7,11,Management,False,Management & Business,116578,3.8545160986904383,2.8906486486486487,1298918.1091299646,1.9994841217508286,11.142051751873977,1.1465180278068237,1.5475640515067037
AL,11-9081,11-9081,Alabama,9.7,11,Management,False,Management & Business,84412,4.142083333333333,2.829142857142857,989185.8607361903,1.5226990894193022,11.718545476190474,1.20583927873668,1.1205628567635737
AL,11-9111,11-9111,Alabama,1.8,11,Management,False,Management & Business,44309,3.9766666666666666,2.903142857142857,511539.9357685714,0.7874368461117192,11.544831428571428,1.187964089165331,0.5881985928580911
AL,11-9121,11-9121,Alabama,16.3,11,Management,False,Management & Business,64348,3.795,3.2394285714285713,791070.5951657143,1.2177311895953877,12.293631428571429,1.2650156698203352,0.8542147882649674
AL,11-9121,11-9121,Alabama,16.3,11,Management,False,Management & Business,64348,3.795,2.571142857142857,627874.7826685713,0.9665164028196236,9.757487142857142,1.0040462173851823,0.8542147882649674
AL,11-9121,11-9121,Alabama,16.3,11,Management,False,Management & Business,64348,3.795,2.8925714285714283,706367.8519542856,1.087344378502708,10.977308571428571,1.1295659411943089,0.8542147882649674
AL,11-9121,11-9121,Alabama,16.3,11,Management,False,Management & Business,64348,3.9381818181818184,3.2394285714285713,820916.9525111689,1.2636750540968307,12.757458701298702,1.3127435337553464,0.8542147882649674
AL,11-9121,11-9121,Alabama,16.3,11,Management,False,Management & Business,64348,3.9381818181818184,2.571142857142857,651563.9138867533,1.0029821672091532,10.125628051948052,1.0419279467511342,0.8542147882649674
AL,11-9121,11-9121,Alabama,16.3,11,Management,False,Management & Business,64348,3.9381818181818184,2.8925714285714283,733018.453627013,1.1283688699661594,11.391472207792207,1.1721834129246007,0.8542147882649674
AL,11-9121,11-9121,Alabama,16.3,11,Management,False,Management & Business,64348,3.505714285714286,3.2394285714285713,730768.7711412245,1.1249058307047173,11.356511020408163,1.1685859039108235,0.8542147882649674
AL,11-9121,11-9121,Alabama,16.3,11,Management,False,Management & Business,64348,3.505714285714286,2.571142857142857,580013.0685746939,0.8928406747673091,9.013692244897959,0.9275096621356059,0.8542147882649674
AL,11-9121,11-9121,Alabama,16.3,11,Management,False,Management & Business,64348,3.505714285714286,2.8925714285714283,652522.7587787755,1.0044581610561436,10.140528979591837,1.0434612534126988,0.8542147882649674
AL,11-9131,11-9131,Alabama,0.0,11,Management,False,Management & Business,98019,4.1269230769230765,2.517714285714286,1018457.9101582416,1.567758895437174,10.390413186813186,1.0691743585771318,1.301194743130227
AL,11-9141,11-9141,Alabama,7.4,11,Management,False,Management & Business,30772,3.9722222222222223,2.378,290670.6024444445,0.44744256790499687,9.445944444444445,0.97198844848264,0.4084959511482809
AL,11-9151,11-9151,Alabama,3.7,11,Management,False,Management & Business,77010,3.915625,2.935142857142857,885069.6729374999,1.3624282741481608,11.49291875,1.1826222703352511,1.0223018717642374
AL,11-9161,11-9161,Alabama,7.4,11,Management,False,Management & Business,80407,3.8552173913043477,3.028285714285714,938727.5829231055,1.445026351939544,11.674699751552794,1.20132755011983,1.067396787468472
AL,11-9171,11-9171,Alabama,8.7,11,Management,False,Management & Business,64206,3.978695652173913,2.428,620247.4910295652,0.9547753635524363,9.660273043478261,0.9940428786844672,0.8523297491039427
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.867037037037037,2.503142857142857,294254.60283587297,0.4529595838158844,9.679746137566138,0.9960466616434877,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.867037037037037,2.482285714285714,291802.76103619044,0.4491853514658605,9.599090793650793,0.9877472202212784,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.867037037037037,2.7545714285714284,323811.05192793644,0.4984571792682275,10.652029735449734,1.0960947226235433,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.867037037037037,3.080857142857143,362167.2619996825,0.5575006497302457,11.913788677248677,1.225929819940843,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.867037037037037,2.7437142857142858,322534.7507171429,0.4964925103736947,10.610044761904762,1.0917744654448591,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.867037037037037,2.938285714285714,345407.4118895238,0.5317014450362465,11.362459682539681,1.1691980217260158,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.9496551724137934,2.503142857142857,300541.26789221674,0.4626369351982166,9.886551133004927,1.0173269124259525,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.9496551724137934,2.482285714285714,298037.04319684725,0.45878206745829303,9.804172610837439,1.008850155822015,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.9496551724137934,2.7545714285714284,330729.1820281773,0.5091065737068834,10.879607290640394,1.119512471487114,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.9496551724137934,3.080857142857143,369904.86150916264,0.5694114909533582,12.168323349753695,1.2521214583596674,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.9496551724137934,2.7437142857142858,329425.61300867,0.5070999302258274,10.836725320197045,1.1150999132549277,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.9496551724137934,2.938285714285714,352786.94201615767,0.5430610936626481,11.60521536945813,1.1941776015738494,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.8,2.503142857142857,289153.5509142857,0.4451073010201106,9.511942857142856,0.9787796904953722,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.8,2.482285714285714,286744.2130285714,0.4413984968910764,9.432685714285714,0.9706241240753105,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.8,2.7545714285714284,318197.6240571428,0.4898161727125769,10.467371428571427,1.0770933678878991,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.8,3.080857142857143,355888.9098857143,0.5478360948407548,11.707257142857143,1.204677708322292,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.8,2.7437142857142858,316943.4481714286,0.4878855623440386,10.426114285714286,1.0728480045459492,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.8,2.938285714285714,339419.6002285714,0.5224841323696857,11.165485714285714,1.1489293844372113,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.983125,2.503142857142857,303088.08881196426,0.4665573732567705,9.970330892857142,1.0259478565011526,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.983125,2.482285714285714,300562.6430314285,0.4626698389287549,9.887254285714285,1.017399266896703,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.983125,2.7545714285714284,333531.8187691071,0.5134208007725743,10.971802321428571,1.1289993476232865,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.983125,3.080857142857143,373039.47741803573,0.5742367487533109,12.271439107142857,1.2627320781476918,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.983125,2.7437142857142858,332217.20315732143,0.5113971527662102,10.928556964285715,1.1245493968702853,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.983125,2.938285714285714,355776.49872642854,0.5476630551960538,11.703559285714284,1.2042971985227546,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.720666666666667,2.503142857142857,283116.8364302857,0.43581470999881355,9.31336019047619,0.9583455180095918,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.720666666666667,2.482285714285714,280757.7987565714,0.4321833352893154,9.235757714285715,0.9503602169235628,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.720666666666667,2.7545714285714284,311554.5508531428,0.4795901859489283,10.248842095238095,1.0546066817863797,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.720666666666667,3.080857142857143,348458.94843371434,0.5363988149660093,11.462842476190477,1.1795274193239846,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.720666666666667,2.7437142857142858,310326.5586394286,0.47769988130562796,10.208446285714286,1.0504499497142006,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.720666666666667,2.938285714285714,332333.47173257143,0.5115761303079327,10.932381714285714,1.1249429639551012,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.6208695652173915,2.503142857142857,275522.9716263354,0.42412512618941434,9.063553788819876,0.9326404190441031,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.6208695652173915,2.482285714285714,273227.2089361491,0.420591153559369,8.988032795031057,0.9248693026658108,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.6208695652173915,2.7545714285714284,303197.919124472,0.4667264400858513,9.973943850931677,1.0263196301796824,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.6208695652173915,3.080857142857143,339112.45326409943,0.522011326983273,11.155381863354037,1.1478896973579003,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.6208695652173915,2.7437142857142858,302002.8645734162,0.4648868378948689,9.934631552795032,1.0222743915170098,0.40354440461967345
AL,11-9199,11-9199,Alabama,3.4,11,Management,False,Management & Business,30399,3.6208695652173915,2.938285714285714,323419.5000804969,0.49785444558063424,10.639149316770187,1.094769326498066,0.40354440461967345
AL,13-0000,13-0000,Alabama,1.1,13,Business & Financial Operations,True,Management & Business,32558,3.9780578709698577,2.476408055021274,320738.44812203303,0.493727379537858,9.851294555010535,1.0136990076944428,0.43220496482145226
AL,13-1020,13-1020,Alabama,2.8,13,Business & Financial Operations,False,Management & Business,115764,3.9780578709698577,2.476408055021274,1140425.2628662395,1.7555088262430305,9.851294555010535,1.0136990076944428,1.5367582636399841
AL,13-1031,13-1031,Alabama,7.3,13,Business & Financial Operations,False,Management & Business,91835,4.271481481481481,2.379714285714286,933494.0968354497,1.436970207167892,10.164905502645503,1.045969599609491,1.2191026151599629
AL,13-1041,13-1041,Alabama,4.2,13,Business & Financial Operations,False,Management & Business,69418,4.315,2.1497142857142855,643922.5580228571,0.9912194782366036,9.276017142857143,0.954502915384695,0.9215186512677552
AL,13-1041,13-1041,Alabama,4.2,13,Business & Financial Operations,False,Management & Business,69418,4.315,2.7391428571428573,820479.2083685716,1.263001214494195,11.81940142857143,1.2162173644063095,0.9215186512677552
AL,13-1041,13-1041,Alabama,4.2,13,Business & Financial Operations,False,Management & Business,69418,4.315,2.454,735067.8961800002,1.131523670730222,10.589010000000002,1.0896099867409816,0.9215186512677552
AL,13-1041,13-1041,Alabama,4.2,13,Business & Financial Operations,False,Management & Business,69418,4.315,2.628285714285714,787273.2072371428,1.2118856964777402,11.341052857142857,1.1669952576586669,0.9215186512677552
AL,13-1041,13-1041,Alabama,4.2,13,Business & Financial Operations,False,Management & Business,69418,4.315,2.446,732671.5868200001,1.127834922007385,10.554490000000001,1.08605787594476,0.9215186512677552
AL,13-1041,13-1041,Alabama,4.2,13,Business & Financial Operations,False,Management & Business,69418,4.315,2.579142857142857,772553.0211685715,1.1892262400374565,11.12900142857143,1.145175148481877,0.9215186512677552
AL,13-1041,13-1041,Alabama,4.2,13,Business & Financial Operations,False,Management & Business,69418,4.315,2.264,678155.54888,1.0439158885628452,9.76916,1.005247355330718,0.9215186512677552
AL,13-1041,13-1041,Alabama,4.2,13,Business & Financial Operations,False,Management & Business,69418,3.9584615384615387,2.1497142857142855,590716.7276202197,0.9093173072476267,8.509561318681317,0.8756345489918246,0.9215186512677552
AL,13-1041,13-1041,Alabama,4.2,13,Business & Financial Operations,False,Management & Business,69418,3.9584615384615387,2.7391428571428573,752684.9106452748,1.1586423477648855,10.84279164835165,1.115724138913427,0.9215186512677552
